"Type","Redox","Type.S3","Site","Depth.cm","Distance..m","pH","Eh.mV","EC.mScm","AVS.umolg","TotalS.oes.umolg","Porewater.FeII.mgL","Porewater.total.Fe.II.mgL","Porewater.FeIII.mgL","Pore.water.sulfate.mgL","As.ms","As.oes","Ba.ms","Cd.ms","Co.ms","Co.oes","Cr.ms","Cr.oes","Cu.ms","Cu.oes","Fe.ms","Fe.oes","Mn.ms","Mn.oes","Mo.ms","Ni.oes","P.oes","Pb.ms","Pb.oes","Rb.ms","S.oes","Sr.ms","Th.ms","Ti.ms","U.ms","V.ms","Zn.ms","Zn.oes","REE.ms","As","Ba","Cd","Co","Cr","Cu","Fe","Mn","Mo","Ni","P","Pb","Rb","S","Sr","Th","Ti","U","V","Zn","REE","As.log","Ba.log","Cd.log","Co.log","Cr.log","Cu.log","Fe.log","Mn.log","Ni.log","P.log","Pb.log","S.log","Sr.log","Th.log","Ti.log","U.log","V.log","Zn.log","REE.log"
"Sediment","Reduced","Sediment","S 2",22.5,58,7.49,-76,34.5,214.05,1985.36,1.47,2.6,1.13,7853.06,6.31,1.898448946,19.44,0.08,8.89,5.180175674,22.53,13.6771452,9.99,5.128365977,73537.26,53937.55698,249.47,179.5455879,13.3,7.913116983,236.6805149,10.88,10.9701351,10.13,63670.6333,500.37,12.16,410.93,11.84,48.03,12.75,7.73401067,896.49,-3.235394955,-0.909099365,-6.402160808,-1.691505114,-0.761584409,-1.574847571,7.01915014,1.642906504,-1.288668129,-1.807910404,1.59027903,-1.489505922,-1.560930846,7.185046556,2.338915661,-1.378280287,2.14199072,-1.404948534,-0.004606348,-1.330900892,2.922054975,0.278398922,1.288696261,-1.096910013,0.948901761,1.352761192,0.999565488,4.731891272,2.397018327,0.898347586,2.374162505,1.036628895,4.80393917,2.699291263,1.084933575,2.613767848,1.073351702,1.681512587,1.105510185,2.95254545
"Sediment","Reduced","Sediment","S 2",27.5,58,6.87,-90,36.3,122.85,2192.56,1.27,1.98,0.71,8526.53,5.97,4.671025267,19.95,0.07,8.74,5.636029076,23.35,16.76045552,8.67,5.751770541,49248.06,40689.75349,45.02,35.47669876,10.21,8.819900015,149.3029116,11.62,12.27085916,10.5,70315.25769,461.23,12.36,443.12,7.15,51.57,8.03,5.553461272,461.15,-2.178379876,-0.726529324,-6.379018504,-1.551848278,-0.569161483,-1.559889677,6.893973115,0.087348368,-1.396390835,-1.542747934,1.286218739,-1.267030716,-1.36838321,7.440985624,2.414138367,-1.205293015,2.374082146,-1.752646111,0.223181641,-1.636573939,2.413964902,0.669412217,1.2999429,-1.15490196,0.941511433,1.368286885,0.938019097,4.609485059,1.653405491,0.945463662,2.174068277,1.065206128,4.847049573,2.663917548,1.092018471,2.646521352,0.854306042,1.712397131,0.904715545,2.663842213
"Sediment","Oxidised","Sediment.ox","S 3",2.5,82,6.53,29,75.9,136.25,947.59,NA,NA,NA,NA,4.8,5.926649955,11.89,0.13,13.26,9.002461295,13.73,9.786206544,6.24,4.793751051,37506.67,29601.31123,113.3,88.90265522,8.47,10.08761327,258.8263367,6.95,9.290751529,6.26,30389.2026,242.63,6.78,199.36,9.19,30.45,18.27,13.13147525,920.55,-1.860525911,-1.164287322,-5.680205861,-1.055233048,-1.020401813,-1.80900485,6.655588905,1.090054135,-1.503454524,-1.32867677,1.916172289,-1.701243373,-1.805804848,6.681857614,1.851552617,-1.726007931,1.655127203,-1.421869096,-0.223899039,-0.734724662,3.184986285,0.772809277,1.075181855,-0.886056648,1.122543524,1.137670537,0.79518459,4.471310949,2.05422991,1.003788424,2.413008466,0.841984805,4.482719305,2.384944498,0.831229694,2.299638025,0.963315511,1.483587297,1.261738547,2.964047382
"Sediment","Oxidised","Sediment.ox","S 3",7.5,82,6.07,142,NA,7.59,201.58,1.09,1.74,0.65,10771.43,4.49,3.124480786,28.05,0.11,12.93,7.045681318,31.54,19.01922437,10.75,7.531424964,28308.03,18695.38206,61.07,36.73587549,12.32,9.70326717,159.021467,23.34,19.97940453,14.09,6464.654505,106.15,19.03,525.46,9.13,84.17,9.64,4.994715587,343.71,-2.558230886,-0.363510375,-5.90477392,-1.137948814,-0.246242425,-1.322593252,6.138532817,0.414521741,-1.186275049,-1.425036356,1.371540199,-0.54733038,-1.052033681,5.076605842,0.967354182,-0.751482325,2.566775063,-1.485933312,0.735339557,-1.431577898,2.142299272,0.494777858,1.447932866,-0.958607315,1.111598525,1.498861689,1.031408464,4.271734345,1.78582792,0.986917989,2.201455756,1.368100852,3.81054532,2.025919999,1.279438788,2.720539661,0.960470778,1.925157327,0.984077034,2.536192168
"Sediment","Oxidised","Sediment.ox","S 3",12.5,82,5.84,193,NA,0.44,236.19,NA,NA,NA,NA,6.8,6.187050231,14.33,0.03,2.67,1.651824028,32.11,26.16842212,5.99,3.763915397,41450.24,35562.51406,63.29,53.67676118,12.29,7.725187936,27.14126917,19.48,20.74702127,21.13,7574.56823,19.07,18.91,539.13,1.39,100.02,3.44,1.489255124,34.82,-1.346657303,-0.506760496,-6.675673635,-2.187037266,0.30005177,-1.379024326,7.309931648,0.978611601,-0.660329814,-1.124629587,0.131939679,-0.19972744,-0.118421906,5.763435891,-0.220999318,-0.229424855,3.120840991,-2.839811991,1.436254428,-1.933644267,0.381076196,0.791483642,1.15624619,-1.522878745,0.426511261,1.506640306,0.777426822,4.550992455,1.801335096,0.887909054,1.433630152,1.289588953,3.879357882,1.280350693,1.276691529,2.731693499,0.1430148,2.00008685,0.536558443,1.541828767
"Sediment","Oxidised","Sediment.ox","S 3",17.5,82,3.98,303,15.01,NA,335.7,NA,NA,NA,NA,6.92,7.287288336,15.4,0.03,3.13,2.190531439,39.02,28.11579975,7.39,4.962147674,57087.53,46026.16908,62.86,50.6074654,9.38,7.344191137,25.57466916,28.26,26.69858814,22.42,10765.89107,18.25,19.55,424.34,1.33,126.34,3.63,1.307949699,22.14,-1.230303351,-0.482067348,-6.722992755,-2.075401853,0.447639477,-1.216307123,7.520530549,0.924475173,-0.977855095,-1.222525179,0.025167518,0.125012519,-0.10648144,6.067703323,-0.312269778,-0.243459571,2.834100163,-2.931255916,1.622541828,-1.92720221,-0.119048931,0.862565954,1.187520721,-1.522878745,0.495544338,1.591287265,0.868644438,4.663004829,1.798374377,0.865943971,1.407810024,1.451172158,4.032049981,1.261262869,1.291146762,2.627713972,0.123851641,2.101540873,0.559906625,1.345177617
"Sediment","Oxidised","Sediment.ox","S 3",22.5,82,4.1,295,NA,0.81,406.19,NA,NA,NA,NA,7.5,6.860101598,15.63,0.01,3.31,2.493713095,42.76,31.12219028,8.64,5.794375127,68633.84,56911.05643,77.7,59.47994593,9.42,7.872652524,25.3087692,24.56,24.36985898,23.4,13026.44382,18.22,22.84,445.21,1.39,158.2,4.14,1.100383744,19.94,-1.302036694,-0.478566802,-7.832929132,-2.030810757,0.52784414,-1.071356363,7.721485968,1.125096311,-0.984923858,-1.164363898,0.003391998,-0.026639843,-0.075022924,6.246977764,-0.325239054,-0.099245561,2.870787135,-2.898455199,1.836101109,-1.807063158,-0.235031182,0.836330548,1.193958978,-2,0.519827994,1.631037697,0.936513742,4.755196647,1.890421019,0.896121083,1.403271025,1.390228362,4.114825871,1.260548373,1.3586961,2.648564911,0.1430148,2.199206479,0.617000341,1.299725154
"Sediment","Oxidised","Sediment.ox","S 3",27.5,82,5.46,173,NA,0.38,535.61,NA,NA,NA,NA,7.23,5.628053334,15.09,0.02,8.02,5.215170167,41.85,28.207872,21.35,15.07825448,61207.24,47051.00162,134.84,101.2489132,9.49,8.539386754,29.78712571,20.42,19.32161689,24.98,17176.85295,41.23,24.75,476.53,2.1,133.7,4.78,1.95055332,55.69,-1.75610033,-0.769831673,-7.395886951,-1.401925524,0.250227851,-0.422812206,7.275123488,1.420224945,-1.233625333,-1.339174749,-0.089787668,-0.467349133,-0.265788441,6.267454052,0.235302201,-0.275038456,2.682666735,-2.741926601,1.411734539,-1.919423399,0.535936652,0.750358204,1.17868924,-1.698970004,0.904174368,1.621695462,1.329397879,4.672568873,2.129818744,0.931426683,1.474028598,1.310055738,4.234943598,1.615213335,1.393575203,2.678090247,0.322219295,2.126131407,0.679427897,1.745777218
"Sediment","Reduced","Sediment","S 4",2.5,204,7.34,-59,61.8,257.81,1007.74,1.35,2.23,0.88,13026.53,3.95,3.256745925,9.58,0.22,19.84,13.62717624,11.72,7.82599711,6.9,5.181842519,32609.25,25386.53673,153.77,113.7050332,11.72,10.86791545,465.1138887,5.95,6.11126718,5.84,32318.35079,204.6,5.67,141.66,6.41,27.38,17.33,12.79973678,862.62,-2.447599898,-1.368650821,-5.142456145,-0.640628311,-1.167031628,-1.696807001,6.51364585,1.407129567,-1.167031628,-1.242513501,2.513953885,-1.844937193,-1.863597616,6.755062071,1.692728441,-1.893139295,1.325101408,-1.770469142,-0.318515593,-0.775889309,3.131645857,0.512783878,0.981365509,-0.657577319,1.297541668,1.068927612,0.838849091,4.404603458,2.186871614,1.036146251,2.667559308,0.774516966,4.509449191,2.310905629,0.753583059,2.151247237,0.80685803,1.437433444,1.238798563,2.935819523
"Sediment","Reduced","Sediment","S 4",7.5,204,7.14,-30,69.1,218.01,1268.13,1.47,2.34,0.88,14148.98,6.47,4.13974206,12.2,0.26,23.54,15.61707415,14.5,8.920829096,8.26,5.67645299,48352.06,34808.06957,309.62,219.3199391,21.11,12.56555143,541.6012241,8.85,7.118512082,7.4,40668.82909,188.81,7.96,158.6,9.4,32.71,13.73,9.347736452,1075.59,-2.440924845,-1.360122375,-5.208631975,-0.702857225,-1.187409677,-1.750133739,6.596046196,1.873787413,-0.811811465,-1.33059927,2.432971655,-1.681140868,-1.860078326,6.751658881,1.379182892,-1.787129327,1.204826983,-1.620848637,-0.373877485,-1.241975107,3.119066301,0.616973282,1.086359831,-0.585026652,1.371806459,1.161368002,0.916980047,4.541679938,2.490829006,1.099181552,2.733679637,0.946943271,4.609261669,2.276024992,0.900913068,2.200303183,0.973127854,1.514680544,1.137670537,3.031646756
