Type,Site,Depth.cm,Distance  m,pH,Eh mV,EC mScm,AVS umolg,TotalS.oes.umolg,Porewater FeII mgL ,Porewater total Fe II mgL,Porewater FeIII mgL,Pore-water sulfate mgL,As.oes  ,Co.oes   ,Cr.oes   ,Cu.oes   ,Fe.oes   ,Mn.oes   ,Ni.oes   ,P.oes   ,Pb.oes  ,S.oes   ,Zn.oes   ,Ti.ms,V.ms,Cr.ms,Mn.ms,Fe.ms,Co.ms,Cu.ms,Zn.ms,As.ms,Rb.ms,Sr.ms,Mo.ms,Cd.ms,Ba.ms,Pb.ms,Bi.ms,Th.ms,U.ms
Dredge spoil,S 7,59,3,4.09,253,3.3,0.44,NA,271.16,281.35,10.18,4946.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1552.37,22.36,17.93,115.18,5938,1.38,4.66,3.18,0.07,5.11,4.98,10.78,0.02,8.01,5.2,0.02,12.57,2.46
Dredge spoil,S 7,62,3,4.06,253,5.3,0.66,NA,271.16,281.35,10.18,4946.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1573.18,33.99,20.66,105.78,8248.03,1.71,7.55,2.76,0.29,5.84,3.42,11.98,0.03,7.2,5.67,0.01,13.6,2.5
Dredge spoil,S 7,63,3,4.22,247,3.8,0.37,51.24,294.48,296.74,2.25,6811.54,0,0.248801537,12.34642701,2.790911432,6761.098269,69.66337388,3.712201346,9.729935758,9.707476886,1643.229002,1.745083149,1527.93,33.47,18.22,102.11,8966.14,1.56,10.71,4.65,0.47,6.11,6.65,14.04,0.02,9.1,8.4,0.02,12.45,2.38
Dredge spoil,S 7,68,3,4.33,241,3.2,0.71,NA,382.49,382.72,0.23,5674.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1185.13,48.42,18.2,87.46,12546.8,1.3,5.81,2.42,0.73,5.04,5.41,13.61,0.03,9.14,10.64,0.02,9.74,2.85
Dredge spoil,S 7,71,3,4.31,NA,6.9,0.51,NA,353.59,365.37,11.78,6157.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1198.12,77.02,17.82,81.54,12262.18,1.22,3.94,2.19,2.33,4.85,6.32,17.07,0.04,8.93,13.53,0.01,9.31,3.87
Dredge spoil,S 7,74,3,4.19,222,6,NA,NA,361.47,383.43,21.95,6484.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,476.51,93.57,36.68,54.63,27707.97,8.74,12,4.67,0.94,14.6,4.33,3.38,0.02,16.56,13.32,0.04,16.69,2.58
Dredge spoil,S 7,77,3,3.82,258,4,0.65,109.34,384.48,387.74,3.26,7080.77,0,1.271943814,8.254817812,3.64440993,3539.502091,29.69192765,2.838344985,9.23531362,5.320263112,3506.673559,0.516113058,593.78,20.89,13.39,42.46,4941.58,2.98,4.81,1.27,0.73,3.28,2.73,18.41,0.05,2.63,4.57,0.01,5.63,3.78
Dredge spoil,S 7,80,3,4.18,320,4.08,0.02,NA,360.67,370.23,9.56,7984.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 7,83,3,4.12,NA,4,0.09,1124.98,351.84,401.68,49.84,4292.16,0.565909216,7.790394728,27.96357739,13.81495197,37247.87066,83.90822627,14.61934419,19.31532051,22.56528789,36078.14449,2.418186402,837.8,160.24,55.02,155.34,57242.76,13.21,20.7,6.68,2.04,21.84,8.1,7.4,0.06,14.45,22.39,0.05,24.85,4.91
Dredge spoil,S 7,86,3,NA,NA,NA,0.1,NA,139.93,200,60.07,6234.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,798.66,119.35,46.43,117.97,30466.45,10.13,16.02,5.84,0.62,20.43,9.13,3.72,0.02,14.33,23.48,0.04,24.14,4.25
Dredge spoil,S 7,89,3,NA,NA,NA,0.37,NA,139.93,200,60.07,6234.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,657.03,108.51,45.45,93.87,43574.73,11.7,18.02,5.51,1.72,20.17,5.73,5.67,0.02,13.49,17.74,0.04,21.86,3.23
Dredge spoil,S 7,92,3,3.99,301,5.93,0.17,717.57,139.93,200,60.07,6234.62,2.215442465,7.60919252,27.2810521,13.2243216,29437.3057,40.24975651,12.21956641,14.55485785,17.24249153,23012.56498,2.234270864,598.41,117.19,42.67,64.96,39891.61,10.8,16.08,5.07,1.9,18.83,6.61,4.24,0,25.54,15.32,0.03,20.67,3.01
Dredge spoil,S 7,95,3,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,577.36,111.94,39.92,58.98,34941.95,9.03,15.1,5.06,1.14,18.14,6.96,4.42,0,25.62,14.12,0.04,19.77,2.81
Dredge spoil,S 7,98,3,4.83,243,3.8,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 7,100,3,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 7,102,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 7,106,3,5.28,NA,4.4,0.12,175.6,126.9,128.22,1.32,5792.31,0,2.991085523,16.22120125,6.990331317,13807.96008,25.78134468,7.588078376,19.34144803,11.64234287,5631.494125,0.993188838,456.75,65.37,24.29,41.69,20124.75,6,8.02,9.54,0.92,11.76,6.51,2.12,0.03,19.55,12.04,0.04,14.98,2.21
Dredge spoil,S 8,9,4,4.3,284,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 8,11,4,3.91,365,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 8,13,4,3.86,414,0.26,0.58,9.81,NA,NA,NA,NA,0,0,6.62443976,1.018041175,22242.01645,8.424998839,5.150111558,21.34648803,1.507670484,314.5575965,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 8,19,4,NA,NA,NA,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 8,22,4,3.85,421,0.46,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 8,24,4,4.05,425,0.66,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 8,26,4,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 8,28,4,3.89,442,0.81,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276.73,11.4,5.99,16.77,10540.16,0.61,0.81,1.02,1.26,2.21,0.85,1.97,0.01,6.46,2.8,0,2.76,0.28
Dredge spoil,S 8,33,4,4.27,335,0.6,3.4,4.85,NA,NA,NA,NA,0,0,6.689951135,0.026015961,2925.416866,3.176791426,1.692623842,4.735925219,-0.809191272,155.383959,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 8,36,4,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255.22,5.82,2.68,13.37,3031.15,0.21,0.59,0.55,0.07,0.71,0.65,1.42,0,1.48,0.5,0,1.22,0.14
Dredge spoil,S 8,39,4,NA,NA,NA,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 8,43,4,3.93,431,1.27,1.08,25.27,NA,NA,NA,NA,0,0,1.829972618,0.118290218,4378.524698,15.75871791,1.143431089,3.116552946,3.398377432,810.3888496,0,328.84,8.05,3.29,16.66,5754.48,0.24,0.65,2.45,0.24,0.93,0.94,2.64,0,11.16,3.28,NA,1.9,0.21
Dredge spoil,S 8,46,4,4.04,393,0.26,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 8,53,4,3.86,414,2.34,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 8,58,4,NA,NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 8,61,4,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 8,64,4,3.81,490,7.27,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 8,69,4,3.86,322,4.18,0.58,14.2,NA,NA,NA,NA,0,0,7.171815114,1.598671403,3633.973595,50.2603029,2.251486701,7.771542642,5.1887827,455.3623634,1.034769217,1312.93,23.42,12.59,82.18,5548.01,0.95,3.79,3.49,NA,3.27,3.28,9.5,0,7.25,5.48,0.01,8.83,1.77
Dredge spoil,S 8,74,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 8,79,4,4.02,271,4.1,0.21,72.63,NA,NA,NA,NA,0,0,9.532649807,3.092511233,12116.87257,56.4895639,2.71736118,14.29295427,12.47120619,2329.38537,1.262667108,1271.83,44.49,14.84,86.9,14977,1.08,7.14,2.61,0.21,3.7,4.2,10.6,0.02,9.31,10.71,0.01,9.74,2.46
Dredge spoil,S 8,84,4,NA,NA,NA,0.33,NA,358.47,393.74,35.27,4946.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 8,87,4,4.07,348,NA,0.74,NA,339.34,347.88,8.54,5234.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1310.09,80.41,17.15,84.47,27477.3,1.08,4.24,2.54,0.5,3.81,6.08,10.37,0.01,12.77,12.93,0.01,8.5,3.43
Dredge spoil,S 8,91,4,NA,NA,NA,1.39,144.94,327.05,357.96,30.91,6023.08,1.376812161,2.122522204,11.37978933,3.455455831,20740.02088,40.7916366,3.74545421,30.07185148,12.83373479,4648.179175,1.052995396,990.73,137.45,20.65,71.63,31098.31,3.81,6.07,2.39,3.26,5.7,9.86,13.32,0.04,12.29,11.53,0.02,9.39,6.57
Dredge spoil,S 8,94,4,NA,NA,NA,0.05,NA,314.01,342.59,28.59,5773.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1211.88,28.75,17.57,83.83,6998.96,11.6,6.95,2.59,0.5,5.22,5.27,15.95,0.06,4.02,8.05,0.02,9.35,9
Dredge spoil,S 8,97,4,NA,NA,NA,NA,NA,378.51,430.65,52.14,4782.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 8,100,4,4.18,247,5,NA,NA,NA,NA,NA,5080.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 8,104,4,NA,NA,NA,0.02,NA,267.85,304.23,36.38,6273.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 8,107,4,NA,NA,NA,0.61,1025.09,197.72,247.8,50.07,5926.92,1.560252046,5.7060848,26.08741471,12.58708555,32859.03493,83.57127842,12.09723267,20.79854112,16.67758759,32874.73951,1.625278009,437.05,121.42,43.83,137.2,50000.27,9.1,18.13,6.41,3.67,16.38,6.31,10.6,0.03,9.16,17.7,0.04,20.09,4.8
Dredge spoil,S 8,110,4,4.33,283,4.72,NA,NA,NA,NA,NA,5926.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 8,113,4,NA,NA,NA,0.02,716.97,197.72,247.8,50.07,6027.45,1.089749621,4.624141463,25.36711477,10.93132711,26583.02772,55.14256445,10.62433891,19.49884205,13.73007168,22993.12119,2.178240432,501.53,106.93,45.51,97.21,41442.69,8.01,18.25,9.4,2.12,15.49,5.9,7.29,0.02,11.94,13.14,0.04,19.27,2.54
Dredge spoil,S 8,116,4,NA,NA,NA,0.25,525.73,NA,NA,NA,NA,0,3.492972416,22.75540062,9.332331656,22191.02253,44.0159906,8.525873539,20.96092252,11.28574022,16860.01171,1.125584163,338.95,99.13,35.11,64.88,31036.33,5.6,13.58,4.36,1.58,10.99,6.19,4.73,0.01,17.06,8.39,0.03,16.01,1.83
Dredge spoil,S 8,119,4,3.94,299,4.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 8,122,4,4.64,219,3,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,392.79,99.52,34.26,75.94,29902.51,5.11,13.55,4.03,2.75,9.88,6.12,3.83,0.01,15.46,7.94,0.03,15.29,2.2
Dredge spoil,S 8,125,4,NA,NA,NA,0.04,385.16,NA,NA,NA,6027.45,1.212054696,2.892212429,22.50232728,8.171752814,22204.6603,62.33813904,8.065029038,29.57758075,10.21446075,12352.22585,1.357139337,528.44,96.63,36.37,91.65,30841.38,4.98,13.78,3.64,3.04,9.81,3.71,4.44,0.01,15.01,9.32,0.03,14.61,2.18
Dredge spoil,S 9,6,8,3.86,NA,1.7,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,605.64,40.37,13.44,48.23,37613.96,1.85,3.29,4,2.71,4.34,3.33,4.41,0.01,4.51,5.41,0.01,5.65,1.8
Dredge spoil,S 9,10,8,3.87,NA,0.7,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,614.76,44.19,12.73,46.2,38335.33,1.92,2.78,1.62,2.65,4.84,2.58,4.43,0.01,3.97,6.72,0.01,6.92,1.97
Dredge spoil,S 9,14,8,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,559.35,35.85,9.46,40.49,24552.67,1.26,2.79,1.73,2.37,3.29,1.79,3.38,0.01,2.92,4.58,0.01,6.2,1.22
Dredge spoil,S 9,20,8,3.84,NA,0.8,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271.21,14.27,4.55,19.19,13329.75,0.55,1.43,NA,0.91,1.32,0.89,1.49,0,1.1,1.74,NA,2.79,0.52
Dredge spoil,S 9,25,8,4.02,280,0.13,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233.46,12.26,3.69,16.5,15211.85,0.52,0.2,NA,1.16,1.2,0.77,1.31,NA,1.17,1.95,0,2.6,0.67
Dredge spoil,S 9,28,8,4.05,289,0.74,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278.86,5.82,2.75,17.16,7611.79,0.29,0.27,NA,0.67,0.68,0.37,0.81,NA,1.1,1.34,NA,2.45,0.42
Dredge spoil,S 9,36,8,4.18,399,0.14,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341.87,8.99,3.46,21.04,11861.15,0.28,0.14,NA,0.27,0.58,0.18,0.83,0,1.04,1.45,NA,2.32,0.4
Dredge spoil,S 9,44,8,4.53,390,0.11,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230.25,6.38,2.21,13.24,3416.1,0.17,0.4,NA,0.38,0.54,0.18,0.62,0.01,1.4,0.7,NA,1.66,0.21
Dredge spoil,S 9,49,8,4.79,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 9,54,8,NA,NA,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271.38,7.22,4.41,15.95,3301.84,0.36,0.84,NA,0.4,1.09,0.34,0.84,0.01,1.88,0.87,0,3.01,0.22
Dredge spoil,S 9,59,8,4.02,408,0.57,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221.53,6.84,6.33,16.47,4901.83,0.55,1.58,0.11,0.26,2.09,0.59,1.41,0,2.27,0.86,0,5.77,0.27
Dredge spoil,S 9,64,8,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,444.72,6.93,7.12,29.06,4968,0.61,1.66,0.49,0.27,2.07,1.19,4.57,0.01,12.03,1.73,0,4.5,0.49
Dredge spoil,S 9,71,8,4.2,227,3.4,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1057.15,34.7,15.96,88.22,10940.01,2.98,5.27,1.8,0.76,5.38,3.61,13.47,0.02,10.31,6.17,0.01,10.34,4
Dredge spoil,S 10,6,13,4.5,396,0.22,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363.08,79.12,24.85,42.53,71540.3,3.88,5.22,2.36,5.11,9.95,4.32,8.25,0.02,11.23,10.49,0.03,9.3,4.19
Dredge spoil,S 10,14,13,NA,NA,NA,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407.22,50.63,15.52,31.01,30257.68,1.91,5.61,1.45,3.56,5.93,1.88,4.07,0.01,4.85,7.65,0.02,8.46,2.66
Dredge spoil,S 10,15,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 10,21,13,4.53,395,0.04,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332.7,15,5.56,20.62,7039.29,0.44,0.71,-0.19,0.99,1.38,0.42,1.12,NA,1.71,2.61,0,3.37,0.72
Dredge spoil,S 10,25,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 10,29,13,NA,NA,NA,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,511.79,5.31,3.38,32.69,4811.77,0.27,2.15,0.26,NA,0.79,0.24,0.73,NA,1.75,1.69,0,3.57,0.33
Dredge spoil,S 10,33,13,4.4,410,0.08,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495.19,6.66,4.27,30.77,4721.06,0.28,0.36,NA,0.25,0.76,0.29,0.8,NA,1.75,1.51,0,3.15,0.32
Dredge spoil,S 11,5,16,4.54,394,0.06,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,571.26,69.57,29.42,49.01,25236.78,3.84,7.53,3.14,2.44,11.9,7.04,9.97,0.02,13.3,12.82,0.02,11.81,1.87
Dredge spoil,S 11,15,16,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,663.02,90.43,40.47,59.71,29621.88,4.72,8.2,3.61,2.72,9.46,3.8,3.06,0,16.82,7.9,0.04,17.75,2.19
Dredge spoil,S 11,28,16,NA,NA,NA,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430.02,113.27,38.16,59.3,104175.16,9.83,12.73,4.62,6.9,17.33,6.04,10.98,0.03,19.17,14.76,0.04,15.62,8.71
Dredge spoil,S 11,33,16,4.12,408,0.18,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 11,39,16,4.02,405,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503.94,3.17,3.96,33.19,2574.92,0.32,0.54,0.34,NA,0.74,0.29,0.57,0,1.43,1.28,0,3.38,0.2
Dredge spoil,S 11,45,16,4.12,408,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,277.54,3.88,2.73,17.03,3029.5,0.3,0.3,NA,0.25,0.71,0.18,0.71,0.01,1.54,0.94,NA,2.17,0.18
Dredge spoil,S 11,51,16,NA,NA,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402.33,8.46,5.08,26.58,5158.24,0.57,0.44,0.32,0.51,1.42,0.34,1.68,0,1.97,1.41,NA,2.31,0.2
Dredge spoil,S 11,57,16,3.99,412,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334.85,5.72,5.1,19.02,3206.98,0.65,1.29,NA,0.06,1.69,0.38,1.66,0.01,2.23,1.28,NA,2.66,0.21
Dredge spoil,S 12,2,50,4.05,434,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 12,4,50,3.73,419,0.32,0.39,1.834248891,NA,NA,NA,NA,0,0,2.100809925,0.104570385,2057.183199,23.81210375,0.640136275,6.891223168,0.5504591,58.82436192,0.200271424,460.07,3.59,3.65,25.24,2799.09,0.35,1.38,NA,0,0.8,0.19,0.93,NA,1.43,1.41,0,2.66,0.22
Dredge spoil,S 12,8.5,50,3.71,432,0.31,0.18,56.04748781,NA,NA,NA,NA,0.671698294,1.652169723,14.68196606,4.620596575,13477.81353,35.85321993,7.487753133,29.30228998,10.18317139,1797.442934,1.515673147,761.99,58.26,23.6,53.73,19418.5,3.5,7.06,1.67,1.78,9.74,4.85,6.73,0.01,12.81,8.94,0.03,10.66,1.82
Dredge spoil,S 12,10.5,50,3.8,424,0.16,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 12,11.5,50,NA,NA,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,895.41,40.85,17.5,62.13,17626.56,2.26,6.12,1.09,0.78,6.96,11.62,8.97,0.02,11.45,7.48,0.02,10.14,1.4
Dredge spoil,S 12,13.5,50,3.71,422,0.23,0.35,75.68162536,NA,NA,NA,NA,1.686225575,1.174091884,10.72750155,3.274252634,12144.01114,40.86919106,3.110991382,25.87828627,9.402738822,2427.109725,1.120305309,876.52,43.39,17.14,63.97,17231.78,2.04,5.4,2.22,1.36,6.76,7.49,10.5,0.02,13.17,7.65,0.02,7.16,1.19
Dredge spoil,S 12,20,50,3.67,447,0.25,0.29,128.7425711,NA,NA,NA,NA,0,0.450093473,7.449113296,1.604454807,14240.89874,31.93020705,2.517445423,22.7749582,7.130038325,4128.774256,1.527344269,699.51,41.07,12.97,49.28,20668.35,1.47,2.17,0.99,0.68,7.51,10.61,8.24,0.01,9.1,6.8,0.02,5.16,0.79
Dredge spoil,S 12,23,50,3.63,422,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 12,24,50,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,899.93,51.07,28.92,65.42,21735.15,2.64,6.86,2.55,3.58,10.94,9.5,22.72,0.04,12.52,10.39,0.04,10.09,2.87
Dredge spoil,S 12,26,50,3.68,430,0.21,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 12,28,50,3.8,387,0.15,0.27,9.146846379,NA,NA,NA,NA,0.644591639,0,5.822805133,1.427824014,16685.42488,11.12008793,1.928709502,46.73890856,4.003174958,293.3393634,0,225.75,34.59,10.62,16.49,24034.42,0.81,4.36,0.83,3.86,1.74,0.52,3.25,0.01,2.29,2.84,0,6.93,1.81
Dredge spoil,S 12,29,50,NA,NA,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
