Type,Site,Depth.cm,Distance  m,pH,Eh mV,EC mScm,AVS umolg,TotalS.oes.umolg,Porewater FeII mgL ,Porewater total Fe II mgL,Porewater FeIII mgL,Pore-water sulfate mgL,As.oes  ,Co.oes   ,Cr.oes   ,Cu.oes   ,Fe.oes   ,Mn.oes   ,Ni.oes   ,P.oes   ,Pb.oes  ,S.oes   ,Zn.oes   ,Ti.ms,V.ms,Cr.ms,Mn.ms,Fe.ms,Co.ms,Cu.ms,Zn.ms,As.ms,Rb.ms,Sr.ms,Mo.ms,Cd.ms,Ba.ms,Pb.ms,Bi.ms,Th.ms,U.ms
Sediment,S 3,17.5,82,3.98,303,15.01,NA,335.7,NA,NA,NA,NA,7.287288336,2.190531439,28.11579975,4.962147674,46026.16908,50.6074654,7.344191137,25.57466916,26.69858814,10765.89107,1.307949699,424.34,126.34,39.02,62.86,57087.53,3.13,7.39,3.63,6.92,22.42,18.25,9.38,0.03,15.4,28.26,0.05,19.55,1.33
Sediment,S 3,22.5,82,4.1,295,NA,0.81,406.19,NA,NA,NA,NA,6.860101598,2.493713095,31.12219028,5.794375127,56911.05643,59.47994593,7.872652524,25.3087692,24.36985898,13026.44382,1.100383744,445.21,158.2,42.76,77.7,68633.84,3.31,8.64,4.14,7.5,23.4,18.22,9.42,0.01,15.63,24.56,0.05,22.84,1.39
Sediment,S 3,27.5,82,5.46,173,NA,0.38,535.61,NA,NA,NA,NA,5.628053334,5.215170167,28.207872,15.07825448,47051.00162,101.2489132,8.539386754,29.78712571,19.32161689,17176.85295,1.95055332,476.53,133.7,41.85,134.84,61207.24,8.02,21.35,4.78,7.23,24.98,41.23,9.49,0.02,15.09,20.42,0.07,24.75,2.1
Sediment,S 4,2.5,204,7.34,-59,61.8,257.81,1007.74,1.35,2.23,0.88,13026.53,3.256745925,13.62717624,7.82599711,5.181842519,25386.53673,113.7050332,10.86791545,465.1138887,6.11126718,32318.35079,12.79973678,141.66,27.38,11.72,153.77,32609.25,19.84,6.9,17.33,3.95,5.84,204.6,11.72,0.22,9.58,5.95,0.01,5.67,6.41
Sediment,S 4,7.5,204,7.14,-30,69.1,218.01,1268.13,1.47,2.34,0.88,14148.98,4.13974206,15.61707415,8.920829096,5.67645299,34808.06957,219.3199391,12.56555143,541.6012241,7.118512082,40668.82909,9.347736452,158.6,32.71,14.5,309.62,48352.06,23.54,8.26,13.73,6.47,7.4,188.81,21.11,0.26,12.2,8.85,0.01,7.96,9.4
Sediment,S 4,12.5,204,7.35,-51,55,101.44,1752.62,1.67,2.65,0.98,12271.43,8.975654622,18.0252078,11.97658267,8.859559921,51309.18744,277.5331529,14.3067087,842.8495248,11.05130451,56206.6693,16.5190497,218.71,45.58,20,397.98,69012.03,27.9,13.45,23.25,7.22,9.11,228.61,15.2,0.29,27.26,9.88,0.02,8.44,12.03
Sediment,S 4,17.5,204,7.39,11,NA,71.16,1375.29,1.67,3.05,1.38,7893.88,8.339924989,26.08360918,16.20511639,12.78387503,40631.73221,146.8578874,18.12087517,1570.13287,15.19835118,44105.70354,21.35349591,251.97,61.67,27.13,213.1,57153.45,39.7,18.13,33.06,7.25,12.63,320.2,15.38,0.42,49.21,13.67,0.03,12.7,18.25
Sediment,S 4,22.5,204,7.12,145,NA,12.26,1281.62,NA,NA,NA,NA,8.102471666,19.65850733,17.94531802,13.04111286,40700.5011,167.4864573,15.58889269,1101.735818,16.5522892,41101.44599,16.34139893,277.06,74.51,28.71,240.15,55809.64,30.29,19.48,27.43,7.72,14.5,331.31,17.27,0.43,53.81,16.83,0.03,15.26,18.05
Sediment,S 4,27.5,204,NA,187,35,1.55,2208.53,NA,NA,NA,NA,17.2813513,17.25953363,12.43247925,9.452117516,87108.69132,159.2951451,14.38667146,955.5781983,21.40479774,70827.44612,19.55121134,212.38,107.83,21.49,234.99,107721.56,24.51,15.75,31.37,15.7,10.58,367,24.11,0.53,22.95,22.83,0.03,11.26,19.94
Sediment,S 5,2.5,287,7.47,-101,38.5,54.63,NA,1.93,3.21,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,297.7,29.98,14.9,75.66,17842.42,12.95,8.96,17.55,3.34,6.86,663.16,11.34,0.28,10.37,6.11,0.01,5.18,3.11
